timestamp,arbitration_id,extended,remote,error,dlc,data
1683343617.028294,0x91,0,0,0,8,fvd/Ny6g8AA=
1683343617.031743,0x92,0,0,0,8,b6tvknNmgqA=
1683343617.0343223,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.0343223,0x23a,0,0,0,8,cTiczmazoAA=
1683343617.0365465,0x85,0,0,0,8,fP+AABhgfOo=
1683343617.0395734,0x47,0,0,0,8,IAAAAAAAAAA=
1683343617.0395734,0x165,0,0,0,8,EEAAAAAAAAA=
1683343617.0421245,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.0421245,0x200,0,0,0,8,AACADIAMAAA=
1683343617.04623,0x202,0,0,0,8,APFYAGAAAAA=
1683343617.04623,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.04623,0x91,0,0,0,8,fu5/Mzal8AA=
1683343617.04623,0x92,0,0,0,8,b6tvj3NqfKU=
1683343617.05041,0x230,0,0,0,8,8BwAAFUAAAA=
1683343617.05041,0x76,0,0,0,8,PpXAAAAAAAA=
1683343617.05041,0x77,0,0,0,8,AAAIAH/38f4=
1683343617.05041,0x7d,0,0,0,8,AADzwAAf6AE=
1683343617.05041,0x188,0,0,0,8,QAAAChQAAAA=
1683343617.05041,0x213,0,0,0,8,//8AAIAR/0E=
1683343617.05041,0x214,0,0,0,8,gAD//4AAc8A=
1683343617.05041,0x216,0,0,0,8,AAAAAKoAAAA=
1683343617.05041,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.05041,0x415,0,0,0,8,AADE+w/+D/4=
1683343617.05041,0x416,0,0,0,8,UAD+AAEAAAA=
1683343617.05041,0x4b0,0,0,0,8,oQCAAMAAGPA=
1683343617.05041,0x82,0,0,0,8,ggAURHAAAP8=
1683343617.05041,0x78,0,0,0,8,AOIAAAAAAAA=
1683343617.0564404,0x85,0,0,0,8,fP+AABdwfOo=
1683343617.0564404,0x242,0,0,0,8,Cgse+LoAAAE=
1683343617.0564404,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.0579913,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.0579913,0x42f,0,0,0,8,fQwATiYsAAA=
1683343617.0579913,0x91,0,0,0,8,fup/NzGq8AA=
1683343617.0579913,0x92,0,0,0,8,b61vjnN0bKo=
1683343617.0579913,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.06053,0x23a,0,0,0,8,cTiczmazoAA=
1683343617.06053,0x85,0,0,0,8,fP+AABaAfOo=
1683343617.06053,0x47,0,0,0,8,IAAAAAAAAAA=
1683343617.06053,0x165,0,0,0,8,EEAAAAAAAAA=
1683343617.06053,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.06053,0x200,0,0,0,8,AACADIAMAAA=
1683343617.06053,0x202,0,0,0,8,AO9oAGAAAAA=
1683343617.06053,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.06053,0x91,0,0,0,8,fuB/NTiv8AA=
1683343617.06053,0x92,0,0,0,8,b65vj3Nsba8=
1683343617.06053,0x230,0,0,0,8,8BwAAFUAAAA=
1683343617.06053,0x76,0,0,0,8,PpXAAAAAAAA=
1683343617.06053,0x77,0,0,0,8,AAAIAH/38f0=
1683343617.06053,0x7d,0,0,0,8,AADy0AAgKAA=
1683343617.06053,0x213,0,0,0,8,//8AAIAR/0E=
1683343617.0665524,0x214,0,0,0,8,gAD//4AActA=
1683343617.0665524,0x216,0,0,0,8,AAAAAKoAAAA=
1683343617.0665524,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.0665524,0x415,0,0,0,8,AADI+g/+D/4=
1683343617.0665524,0x4b0,0,0,0,8,oQCAANAAAPI=
1683343617.0665524,0x78,0,0,0,8,A+KAAAAAAAA=
1683343617.0665524,0x82,0,0,0,8,ggAURHAAAP8=
1683343617.0665524,0x85,0,0,0,8,fP+AABWQfOo=
1683343617.0705967,0x42c,0,0,0,8,jAAAAJxgAAA=
1683343617.0705967,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.0705967,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.0705967,0x91,0,0,0,8,fud/LzK08AA=
1683343617.0705967,0x92,0,0,0,8,b69vkXNoabQ=
1683343617.0705967,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.0741432,0x23a,0,0,0,8,cTiczmazoAA=
1683343617.0741432,0x85,0,0,0,8,fQCAABKgfOo=
1683343617.0741432,0x47,0,0,0,8,IAAAAAAAAAA=
1683343617.0741432,0x165,0,0,0,8,EEAAAAAAAAA=
1683343617.0761776,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.0761776,0x200,0,0,0,8,AACADIAMAAA=
1683343617.0761776,0x202,0,0,0,8,AO14AGAAAAA=
1683343617.0761776,0x91,0,0,0,8,fvF/MSG58AA=
1683343617.0761776,0x92,0,0,0,8,b7FvknNlZLk=
1683343617.0761776,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.0761776,0x230,0,0,0,8,8BwAAFUAAAA=
1683343617.0761776,0x42f,0,0,0,8,fQwATiYsAAA=
1683343617.0761776,0x76,0,0,0,8,PpXAAAAAAAA=
1683343617.0761776,0x77,0,0,0,8,AAAH/3/39f4=
1683343617.0761776,0x7d,0,0,0,8,AADx4AAf5/w=
1683343617.0807207,0x213,0,0,0,8,//8AAIAR/0E=
1683343617.0807207,0x214,0,0,0,8,gAD//4AAceA=
1683343617.0807207,0x216,0,0,0,8,AAAAAKoAAAA=
1683343617.0807207,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.0807207,0x415,0,0,0,8,AADM+Q/+D/4=
1683343617.0807207,0x455,0,0,0,8,AAAAAAAAAAA=
1683343617.0807207,0x4b0,0,0,0,8,oQCAAOAAAPE=
1683343617.0807207,0x78,0,0,0,8,AeKAAAAAAAA=
1683343617.0807207,0x82,0,0,0,8,ggAURHAAAP8=
1683343617.0807207,0x85,0,0,0,8,fP+AABOwfOo=
1683343617.0807207,0x242,0,0,0,8,Cgse+LoAAAE=
1683343617.0807207,0x83,0,0,0,8,AOCAAAAAAAA=
1683343617.0807207,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.086316,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.086316,0x2a1,0,0,0,8,/////wAAAAA=
1683343617.086316,0x91,0,0,0,8,fvd/LRq+8AA=
1683343617.086316,0x92,0,0,0,8,b69vj3NiZ74=
1683343617.086316,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.086316,0x23a,0,0,0,8,cTiczmazoAA=
1683343617.086316,0x85,0,0,0,8,fP+AABLAfOo=
1683343617.086316,0x47,0,0,0,8,IAAAAAAAAAA=
1683343617.0899525,0x165,0,0,0,8,EEAAAAAAAAA=
1683343617.0899525,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.0899525,0x200,0,0,0,8,AACADIAMAAA=
1683343617.0899525,0x202,0,0,0,8,APsIAGAAAAA=
1683343617.0899525,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.0899525,0x91,0,0,0,8,fvp/LxDD8AA=
1683343617.0899525,0x92,0,0,0,8,b6tvkXNhZcM=
1683343617.0899525,0x230,0,0,0,8,8BwAAFUAAAA=
1683343617.0899525,0x76,0,0,0,8,PpXAAAAAAAA=
1683343617.0899525,0x77,0,0,0,8,AAAH/n/39f0=
1683343617.0899525,0x7d,0,0,0,8,AADw8AAf2AA=
1683343617.0899525,0x213,0,0,0,8,//8AAIAR/0E=
1683343617.0899525,0x214,0,0,0,8,gAD//4AAcPA=
1683343617.0899525,0x216,0,0,0,8,AAAAAKoAAAA=
1683343617.0899525,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.0899525,0x415,0,0,0,8,AADQ+A/+D/4=
1683343617.0964894,0x4b0,0,0,0,8,oQCAAPAAAPA=
1683343617.0964894,0x82,0,0,0,8,ggAURHAAAP8=
1683343617.0964894,0x85,0,0,0,8,fP+AABHQfOo=
1683343617.0964894,0x78,0,0,0,8,AOIAAAAAAAA=
1683343617.0964894,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.0964894,0x204,0,0,0,8,wAB9AAAAAAA=
1683343617.0964894,0x42f,0,0,0,8,fQwATiYsAAA=
1683343617.0964894,0x91,0,0,0,8,fvF/NQ7I8AA=
1683343617.0964894,0x92,0,0,0,8,b6tvknNjXcg=
1683343617.1005332,0x217,0,0,0,8,AAAAAAAAAAA=
1683343617.1005332,0x23a,0,0,0,8,cTiczmazoAA=
1683343617.1005332,0x345,0,0,0,8,AAAAAAAAAAA=
1683343617.1005332,0x3df,0,0,0,8,AAAAAIAAAAA=
1683343617.1005332,0x85,0,0,0,8,fP+AABDgfOo=
1683343617.1005332,0x42c,0,0,0,8,jAAAAJxgAAA=
1683343617.1005332,0x47,0,0,0,8,IAAAAAAAAAA=
1683343617.1005332,0x165,0,0,0,8,EEAAAAAAAAA=
1683343617.1005332,0x167,0,0,0,8,AIBDAAAaZwA=
1683343617.1005332,0x178,0,0,0,8,YAACAA5SylI=
1683343617.1060567,0x4a,0,0,0,8,AgAAAAAAAAA=
1683343617.10657,0x4b,0,0,0,8,AMDY2NjYwAA=
1683343617.10657,0x4c,0,0,0,8,IK//AAAAAAA=
1683343617.10657,0x91,0,0,0,8,fvF/NQnN8AA=
1683343617.10657,0x92,0,0,0,8,b65vkXNmU80=
1683343617.10657,0x200,0,0,0,8,AACADIAMAAA=
1683343617.10657,0x202,0,0,0,8,APkYAGAAAAA=
1683343617.10657,0x76,0,0,0,8,PpXAAAAAAAA=
1683343617.10657,0x77,0,0,0,8,AAAIAH/38f4=
